index,элемент,элемент битный,элемент битный алгоритм
doc_3.txt_элемент,0.00011523940438410713,0.00011523940438410713,0.00011523940438410713
doc_80.txt_элемент,9.111254642556833e-05,9.111254642556833e-05,9.111254642556833e-05
doc_94.txt_элемент,3.289890891566541e-05,3.289890891566541e-05,3.289890891566541e-05
doc_43.txt_элемент,5.015689614346098e-05,5.015689614346098e-05,5.015689614346098e-05
doc_57.txt_элемент,0.00023489184578548623,0.00023489184578548623,0.00023489184578548623
doc_56.txt_элемент,3.073776648068658e-05,3.073776648068658e-05,3.073776648068658e-05
doc_42.txt_элемент,3.516679831601064e-05,3.516679831601064e-05,3.516679831601064e-05
doc_95.txt_элемент,1.8835761270362783e-05,1.8835761270362783e-05,1.8835761270362783e-05
doc_81.txt_элемент,7.484537613558608e-05,7.484537613558608e-05,7.484537613558608e-05
doc_2.txt_элемент,3.064199649297428e-05,3.064199649297428e-05,3.064199649297428e-05
doc_97.txt_элемент,5.6824497422480345e-05,5.6824497422480345e-05,5.6824497422480345e-05
doc_83.txt_элемент,2.4752260986844576e-05,2.4752260986844576e-05,2.4752260986844576e-05
doc_54.txt_элемент,5.762909370314113e-05,5.762909370314113e-05,5.762909370314113e-05
doc_40.txt_элемент,3.186093340938645e-05,3.186093340938645e-05,3.186093340938645e-05
doc_68.txt_элемент,6.937379516558461e-05,6.937379516558461e-05,6.937379516558461e-05
doc_69.txt_элемент,4.624957665499231e-05,4.624957665499231e-05,4.624957665499231e-05
doc_41.txt_элемент,7.414634943208776e-05,7.414634943208776e-05,7.414634943208776e-05
doc_55.txt_элемент,4.5339571562961864e-05,4.5339571562961864e-05,4.5339571562961864e-05
doc_82.txt_элемент,1.7998716039136674e-05,1.7998716039136674e-05,1.7998716039136674e-05
doc_96.txt_элемент,4.194565104314037e-05,4.194565104314037e-05,4.194565104314037e-05
